convective_available_potential_energy,k_index,cross_totals_index,vertical_totals_index,lifted_index,showalter_index,temp_1000_hpa,dewpoint_1000_hpa,temp_850_hpa,dewpoint_850_hpa,temp_700_hpa,dewpoint_700_hpa,temp_500_hpa,dewpoint_500_hpa,rain
142.58,34.8,20.1,21.9,-1.13,0.63,24.0,23.1,17.6,15.8,10.0,7.1,-4.3,-4.4,1
142.58,34.8,20.1,21.9,-1.13,0.63,24.0,23.1,17.6,15.8,10.0,7.1,-4.3,-4.4,1
138.24,35.7,19.2,23.5,-1.12,0.67,26.4,22.9,19.4,15.1,10.8,7.9,-4.1,-4.8,0
138.24,35.7,19.2,23.5,-1.12,0.67,26.4,22.9,19.4,15.1,10.8,7.9,-4.1,-4.8,0
493.21,35.7,18.8,23.1,-1.83,1.24,26.0,23.9,19.0,14.7,10.2,8.1,-4.1,-5.3,0
493.21,35.7,18.8,23.1,-1.83,1.24,26.0,23.9,19.0,14.7,10.2,8.1,-4.1,-5.3,1
83.41,36.0,18.3,23.3,-0.47,1.54,26.0,22.3,19.4,14.4,10.0,8.3,-3.9,-9.9,1
83.41,36.0,18.3,23.3,-0.47,1.54,26.0,22.3,19.4,14.4,10.0,8.3,-3.9,-9.9,1
386.15,37.3,21.2,22.5,-1.74,-0.56,24.4,23.2,17.8,16.5,8.8,7.1,-4.7,-4.7,1
386.15,37.3,21.2,22.5,-1.74,-0.56,24.4,23.2,17.8,16.5,8.8,7.1,-4.7,-4.7,1
77.01,33.0,17.9,23.9,-1.28,2.26,26.6,21.8,18.4,12.4,9.8,6.5,-5.5,-7.2,0
77.01,33.0,17.9,23.9,-1.28,2.26,26.6,21.8,18.4,12.4,9.8,6.5,-5.5,-7.2,0
728.02,34.4,20.1,21.9,-1.31,0.35,27.0,23.9,18.2,16.4,10.2,6.3,-3.7,-9.7,0
728.02,34.4,20.1,21.9,-1.31,0.35,27.0,23.9,18.2,16.4,10.2,6.3,-3.7,-9.7,0
985.25,31.4,19.8,23.3,-2.54,0.45,27.4,22.6,18.6,15.1,10.6,3.6,-4.7,-7.5,1
985.25,31.4,19.8,23.3,-2.54,0.45,27.4,22.6,18.6,15.1,10.6,3.6,-4.7,-7.5,1
1899.44,33.1,18.3,24.3,-3.9,1.46,27.4,23.9,19.4,13.4,10.2,5.6,-4.9,-8.3,1
1899.44,33.1,18.3,24.3,-3.9,1.46,27.4,23.9,19.4,13.4,10.2,5.6,-4.9,-8.3,1
408.42,34.6,20.4,23.1,-1.38,-0.04,25.4,22.1,18.4,15.7,9.0,4.8,-4.7,19.7,1
408.42,34.6,20.4,23.1,-1.38,-0.04,25.4,22.1,18.4,15.7,9.0,4.8,-4.7,19.7,0
771.13,32.2,20.8,21.9,-2.11,0.02,27.0,23.1,17.4,16.3,9.0,3.0,-4.5,26.5,0
771.13,32.2,20.8,21.9,-2.11,0.02,27.0,23.1,17.4,16.3,9.0,3.0,-4.5,26.5,1
611.34,37.4,21.1,21.3,-1.5,-0.2,24.6,23.2,17.2,17.0,8.6,7.7,-4.1,-8.9,1
541.27,36.5,21.1,22.9,-2.39,-0.55,26.6,22.4,18.0,16.2,10.0,7.4,-4.9,-6.1,1
541.27,36.5,21.1,22.9,-2.39,-0.55,26.6,22.4,18.0,16.2,10.0,7.4,-4.9,-6.1,0
228.95,33.2,19.8,23.3,-1.6,0.53,26.6,22.0,18.4,14.9,11.2,6.2,-4.9,-7.0,1
228.95,33.2,19.8,23.3,-1.6,0.53,26.6,22.0,18.4,14.9,11.2,6.2,-4.9,-7.0,1
115.52,36.6,20.6,23.5,-1.46,-0.16,25.0,21.9,18.2,15.3,10.4,8.2,-5.3,-9.6,0
115.52,36.6,20.6,23.5,-1.46,-0.16,25.0,21.9,18.2,15.3,10.4,8.2,-5.3,-9.6,0
89.87,33.7,19.8,23.1,-0.66,0.37,26.2,21.4,18.8,15.5,11.0,6.1,-4.3,-8.6,0
89.87,33.7,19.8,23.1,-0.66,0.37,26.2,21.4,18.8,15.5,11.0,6.1,-4.3,-8.6,1
744.23,37.2,22.1,22.9,-2.47,-1.75,25.4,23.5,18.4,17.6,10.6,7.3,-4.5,-6.0,1
744.23,37.2,22.1,22.9,-2.47,-1.75,25.4,23.5,18.4,17.6,10.6,7.3,-4.5,-6.0,0
684.08,35.0,20.3,22.1,-1.73,0.25,26.4,23.1,18.0,16.2,10.0,6.7,-4.1,-8.6,1
684.08,35.0,20.3,22.1,-1.73,0.25,26.4,23.1,18.0,16.2,10.0,6.7,-4.1,-8.6,0
421.17,36.1,20.0,24.1,-2.45,0.05,27.6,22.6,19.0,14.9,10.2,7.3,-5.1,-7.7,0
421.17,36.1,20.0,24.1,-2.45,0.05,27.6,22.6,19.0,14.9,10.2,7.3,-5.1,-7.7,0
1449.74,30.7,18.3,23.3,-3.28,1.54,27.8,24.9,19.4,14.4,10.6,3.6,-3.9,11.9,0
1449.74,30.7,18.3,23.3,-3.28,1.54,27.8,24.9,19.4,14.4,10.6,3.6,-3.9,11.9,0
419.13,32.1,19.7,22.3,-1.21,0.66,27.0,22.0,18.4,15.8,11.2,5.2,-3.9,-9.9,1
419.13,32.1,19.7,22.3,-1.21,0.66,27.0,22.0,18.4,15.8,11.2,5.2,-3.9,-9.9,0
565.01,33.4,19.0,23.3,-1.67,0.96,27.4,22.6,19.2,14.9,10.8,6.0,-4.1,12.1,1
565.01,33.4,19.0,23.3,-1.67,0.96,27.4,22.6,19.2,14.9,10.8,6.0,-4.1,12.1,0
981.4,34.8,20.1,23.1,-2.48,-0.02,27.4,23.2,19.0,16.0,11.0,6.7,-4.1,12.1,0
981.4,34.8,20.1,23.1,-2.48,-0.02,27.4,23.2,19.0,16.0,11.0,6.7,-4.1,12.1,0
698.92,36.9,19.1,21.9,-1.3,1.16,27.8,22.8,18.6,15.8,9.6,8.8,-3.3,-8.3,0
698.92,36.9,19.1,21.9,-1.3,1.16,27.8,22.8,18.6,15.8,9.6,8.8,-3.3,-8.3,1
1065.78,33.2,19.0,23.5,-3.14,1.03,27.8,23.2,19.0,14.5,10.8,6.0,-4.5,-9.1,1
